gameid,avg_kd,sum_likelihood
768220196767788627,0.9815809161260595,39,0.34481666729984234
317584466652051203,1.0944534181266727,35,0.8356457864621756
11014730559430951158,1.2776259070819542,146,0.9912452491189855
3000511055365352819,0.9602100631230832,38,0.24856256065688198
12649554108473933045,1.051123850220723,40,0.6950410287996582
6399375008713962220,0.9710560581750607,39,0.2940293396925516
8925248807052758861,1.0008138502094703,37,0.4471213180438754
10835088817596174612,1.1951597940064487,142,0.9914308287396373
12693808318480503664,1.1090739972328616,38,0.8804290748905972
4402709042723792892,0.9274527782290195,141,0.012739178204744676
7186913211495008537,1.1200307034654309,149,0.9842724416582782
445767634723614993,0.9191394362355458,133,0.008489846788222314
2757105995138513314,0.895605586491158,143,0.0008639120495004476
17125715217972448388,0.938605325930455,137,0.02839591942087676
234942803452935281,0.8442433970593015,140,2.475086778676675e-06
1211673822770518749,0.9121527515044127,144,0.0036804472974929525
8048538110135975785,1.0106650830549042,150,0.46294712563788587
8479652673978177246,0.9642310752881277,151,0.09612104331576543
13996215786343484094,0.8914026546018888,142,0.0005948908012290094
16742220445142825829,0.8184054656269398,148,2.1437466743382116e-08
16068224827595834025,0.8247365960479556,145,8.351418605356559e-08
1030899954144567805,0.8478475261505913,135,5.968863367547052e-06
2964459398417147319,0.9462235400462379,145,0.03947471601658995
288848424884967812,1.0758621873095284,145,0.9210053212421366
14454894579174772004,1.0953272663512532,141,0.9616775597146507
13531086130138520245,1.40538893307527,141,0.9915438389836545
17866396242134142358,1.1847863277897699,149,0.9909850037673537
14035383762052537050,0.9235687176589895,39,0.11338184552869718
16466661414214522366,1.0554618741970407,40,0.7133507836996148
2712351892061748653,1.2207169025132267,143,0.9914174700746363
5106102416956180721,0.9490232228467037,146,0.04584165568617292
3480488565100660315,1.2292825785499573,147,0.9911829811593657
2906575921512585566,1.4019978131397728,152,0.9908871531946531
3520695113036482399,1.225489947090326,148,0.991122549907567
10101856330428170452,1.306152155647218,139,0.9916632761570946
5954352032587402355,1.1632771445628007,144,0.9908792467235721
6312593818881535172,1.1499656039525052,146,0.9901357182761723
9655109813642311618,1.223633705480241,40,0.9895215870050278
121677220498596386,1.2476898182518399,144,0.9913640008701244
1420944183673966276,0.88483569730776,40,0.03634661440968915
6251996909439092315,1.1190791576180494,39,0.9033143545697518
8999473727507281338,0.7695812570434979,133,1.5340033182355147e-11
18134133429213193720,0.6924450458465473,130,1.9181622521784094e-19
9208765407088798657,0.7413543868976895,138,1.0210244463975774e-14
5978982171201728260,0.7812945380040491,130,2.520699162449982e-10
1298913323917140694,0.8846637222128533,142,0.0003008136496041802
12735403883601777429,0.9807295785766276,148,0.1955188422330128
11245207635847819358,1.0269091869474714,39,0.5781553880715524
2134898098187014006,1.0114532121410755,149,0.4704549317692499
1462060781419834146,0.9265357801545672,149,0.01006479318485363
12196590234642871572,0.8976320670057579,144,0.0010120418523740233
2326514820200501387,0.9721626912486829,148,0.13997408380950424
6667896311497328066,0.8151840286319461,142,2.3254972465647568e-08
15397444103657809445,1.0707761567122307,142,0.9022487816123055
1429037982031446895,1.0055532190015597,148,0.4121617392089462
16422641659654679893,1.2833720064059795,148,0.9911258771116195
5645391570146146377,1.0137969886959832,145,0.4940975480127857
7594961191326635575,0.8251793582863621,142,1.1985180648923288e-07
